bench-name,core-freq,memory-freq,problem-size,local-size,num-iters,throughput-metric,kernel-time-mean,kernel-time-stddev,kernel-time-min,kernel-time-throughput,run-time-mean,run-time-stddev,run-time-min,run-time-throughput,kernel-energy-mean,kernel-energy-stddev,kernel-energy-max,kernel-energy-min
VectorAddition_fp32_sg16,,,2097152,1024,,N/A,0.000057,0.000001,0.000056,N/A,0.000099,0.000007,0.000096,N/A,,,,
VectorAddition_int16_sg32,,,2097152,1024,,N/A,0.000051,0.000001,0.000049,N/A,0.000091,0.000011,0.000086,N/A,,,,
VectorAddition_int32_sg32,,,2097152,1024,,N/A,0.000058,0.000001,0.000056,N/A,0.000099,0.000005,0.000096,N/A,,,,
VectorAddition_fp16_sg32,,,2097152,1024,,N/A,0.000051,0.000001,0.000049,N/A,0.000093,0.000007,0.000086,N/A,,,,
VectorAddition_fp32_sg32,,,2097152,1024,,N/A,0.000058,0.000001,0.000057,N/A,0.000099,0.000006,0.000096,N/A,,,,
VectorAddition_int16_sg8,,,2097152,1024,,N/A,0.502402,0.005519,0.489778,N/A,0.503295,0.005528,0.490660,N/A,,,,
VectorAddition_int32_sg8,,,2097152,1024,,N/A,0.138371,0.000862,0.134223,N/A,0.138655,0.000863,0.134528,N/A,,,,
VectorAddition_fp16_sg8,,,2097152,1024,,N/A,0.503043,0.004820,0.492002,N/A,0.503945,0.004829,0.492890,N/A,,,,
VectorAddition_fp32_sg8,,,2097152,1024,,N/A,0.135842,0.001282,0.131798,N/A,0.136118,0.001285,0.132086,N/A,,,,
VectorAddition_int16_sg16,,,2097152,1024,,N/A,0.434605,0.004277,0.424485,N/A,0.435387,0.004286,0.425253,N/A,,,,
VectorAddition_int32_sg16,,,2097152,1024,,N/A,0.121391,0.000742,0.116160,N/A,0.121647,0.000739,0.116454,N/A,,,,
VectorAddition_fp16_sg16,,,2097152,1024,,N/A,0.417729,0.004372,0.404443,N/A,0.418480,0.004382,0.405164,N/A,,,,
VectorAddition_fp32_sg16,,,2097152,1024,,N/A,0.123301,0.000844,0.119276,N/A,0.123559,0.000842,0.119562,N/A,,,,
VectorAddition_int16_sg32,,,2097152,1024,,N/A,0.401701,0.003017,0.393717,N/A,0.402427,0.003022,0.394429,N/A,,,,
VectorAddition_int32_sg32,,,2097152,1024,,N/A,0.108838,0.001114,0.103177,N/A,0.109069,0.001113,0.103453,N/A,,,,
VectorAddition_fp16_sg32,,,2097152,1024,,N/A,0.395526,0.004105,0.384788,N/A,0.396245,0.004114,0.385487,N/A,,,,
VectorAddition_fp32_sg32,,,2097152,1024,,N/A,0.109330,0.001193,0.104107,N/A,0.109564,0.001191,0.104372,N/A,,,,
VectorAddition_int16_sg8,,,2097152,1024,,N/A,0.001931,0.000021,0.001872,N/A,0.001975,0.000023,0.001910,N/A,,,,
VectorAddition_int32_sg8,,,2097152,1024,,N/A,0.000543,0.000001,0.000542,N/A,0.000589,0.000008,0.000579,N/A,,,,
VectorAddition_fp16_sg8,,,2097152,1024,,N/A,0.001937,0.000021,0.001891,N/A,0.001985,0.000022,0.001933,N/A,,,,
VectorAddition_fp32_sg8,,,2097152,1024,,N/A,0.000527,0.000001,0.000526,N/A,0.000572,0.000007,0.000563,N/A,,,,
VectorAddition_int16_sg16,,,2097152,1024,,N/A,0.001645,0.000014,0.001618,N/A,0.001687,0.000015,0.001657,N/A,,,,
VectorAddition_int32_sg16,,,2097152,1024,,N/A,0.000483,0.000001,0.000480,N/A,0.000532,0.000008,0.000520,N/A,,,,
VectorAddition_fp16_sg16,,,2097152,1024,,N/A,0.001642,0.000015,0.001600,N/A,0.001692,0.000018,0.001647,N/A,,,,
VectorAddition_fp32_sg16,,,2097152,1024,,N/A,0.000482,0.000002,0.000478,N/A,0.000528,0.000008,0.000517,N/A,,,,
VectorAddition_int16_sg32,,,2097152,1024,,N/A,0.001553,0.000010,0.001530,N/A,0.001602,0.000013,0.001568,N/A,,,,
VectorAddition_int32_sg32,,,2097152,1024,,N/A,0.000400,0.000001,0.000397,N/A,0.000443,0.000005,0.000438,N/A,,,,
VectorAddition_fp16_sg32,,,2097152,1024,,N/A,0.001554,0.000014,0.001525,N/A,0.001600,0.000016,0.001569,N/A,,,,
VectorAddition_fp32_sg32,,,2097152,1024,,N/A,0.000406,0.000008,0.000397,N/A,0.000453,0.000012,0.000435,N/A,,,,
VectorAddition_int16_sg8,,,2097152,1024,,N/A,0.125277,0.001577,0.121593,N/A,0.125535,0.001580,0.121855,N/A,,,,
VectorAddition_int32_sg8,,,2097152,1024,,N/A,0.030849,0.000177,0.030758,N/A,0.030945,0.000178,0.030847,N/A,,,,
VectorAddition_fp16_sg8,,,2097152,1024,,N/A,0.125239,0.001529,0.120068,N/A,0.125498,0.001532,0.120316,N/A,,,,
VectorAddition_fp32_sg8,,,2097152,1024,,N/A,0.029833,0.000199,0.029715,N/A,0.029932,0.000200,0.029813,N/A,,,,
VectorAddition_int16_sg16,,,2097152,1024,,N/A,0.104444,0.000934,0.102586,N/A,0.104668,0.000935,0.102807,N/A,,,,
VectorAddition_int32_sg16,,,2097152,1024,,N/A,0.028381,0.000049,0.028248,N/A,0.028476,0.000050,0.028347,N/A,,,,
VectorAddition_fp16_sg16,,,2097152,1024,,N/A,0.104098,0.000993,0.101879,N/A,0.104324,0.000994,0.102101,N/A,,,,
VectorAddition_fp32_sg16,,,2097152,1024,,N/A,0.028332,0.000067,0.028157,N/A,0.028428,0.000068,0.028245,N/A,,,,
VectorAddition_int16_sg32,,,2097152,1024,,N/A,0.098454,0.000680,0.096705,N/A,0.098664,0.000680,0.096915,N/A,,,,
VectorAddition_int32_sg32,,,2097152,1024,,N/A,0.023898,0.000172,0.023593,N/A,0.023985,0.000173,0.023671,N/A,,,,
VectorAddition_fp16_sg32,,,2097152,1024,,N/A,0.098349,0.000782,0.096538,N/A,0.098559,0.000783,0.096741,N/A,,,,
VectorAddition_fp32_sg32,,,2097152,1024,,N/A,0.023914,0.000173,0.023624,N/A,0.024003,0.000175,0.023716,N/A,,,,
VectorAddition_int16_sg8,,,2097152,1024,,N/A,0.062911,0.001911,0.061039,N/A,0.063063,0.001918,0.061193,N/A,,,,
VectorAddition_int32_sg8,,,2097152,1024,,N/A,0.015444,0.000042,0.015413,N/A,0.015519,0.000043,0.015479,N/A,,,,
VectorAddition_fp16_sg8,,,2097152,1024,,N/A,0.062673,0.000674,0.061082,N/A,0.062826,0.000676,0.061234,N/A,,,,
VectorAddition_fp32_sg8,,,2097152,1024,,N/A,0.014962,0.000099,0.014890,N/A,0.015043,0.000133,0.014957,N/A,,,,
VectorAddition_int16_sg16,,,2097152,1024,,N/A,0.052277,0.000423,0.051284,N/A,0.052405,0.000425,0.051410,N/A,,,,
VectorAddition_int32_sg16,,,2097152,1024,,N/A,0.014343,0.000267,0.014155,N/A,0.014414,0.000267,0.014221,N/A,,,,
VectorAddition_fp16_sg16,,,2097152,1024,,N/A,0.052196,0.000599,0.050951,N/A,0.052331,0.000602,0.051086,N/A,,,,
VectorAddition_fp32_sg16,,,2097152,1024,,N/A,0.014488,0.000494,0.014130,N/A,0.014558,0.000493,0.014199,N/A,,,,
VectorAddition_int16_sg32,,,2097152,1024,,N/A,0.050349,0.000703,0.049221,N/A,0.050483,0.000707,0.049354,N/A,,,,
VectorAddition_int32_sg32,,,2097152,1024,,N/A,0.012222,0.000283,0.011851,N/A,0.012289,0.000284,0.011919,N/A,,,,
VectorAddition_fp16_sg32,,,2097152,1024,,N/A,0.049231,0.000404,0.048312,N/A,0.049359,0.000407,0.048441,N/A,,,,
VectorAddition_fp32_sg32,,,2097152,1024,,N/A,0.011965,0.000055,0.011855,N/A,0.012032,0.000055,0.011917,N/A,,,,
VectorAddition_int16_sg8,,,2097152,1024,,N/A,0.250738,0.002971,0.242454,N/A,0.251208,0.002978,0.242899,N/A,,,,
VectorAddition_int32_sg8,,,2097152,1024,,N/A,0.062064,0.000137,0.061905,N/A,0.062215,0.000141,0.062047,N/A,,,,
VectorAddition_fp16_sg8,,,2097152,1024,,N/A,0.251129,0.003516,0.240984,N/A,0.251600,0.003522,0.241438,N/A,,,,
VectorAddition_fp32_sg8,,,2097152,1024,,N/A,0.060274,0.000126,0.060147,N/A,0.060423,0.000128,0.060296,N/A,,,,
VectorAddition_int16_sg16,,,2097152,1024,,N/A,0.209173,0.001933,0.204818,N/A,0.209569,0.001936,0.205200,N/A,,,,
VectorAddition_int32_sg16,,,2097152,1024,,N/A,0.056833,0.000296,0.056489,N/A,0.056976,0.000299,0.056623,N/A,,,,
VectorAddition_fp16_sg16,,,2097152,1024,,N/A,0.208542,0.002016,0.203632,N/A,0.208943,0.002020,0.204030,N/A,,,,
VectorAddition_fp32_sg16,,,2097152,1024,,N/A,0.056677,0.000331,0.056296,N/A,0.056818,0.000332,0.056439,N/A,,,,
VectorAddition_int16_sg32,,,2097152,1024,,N/A,0.196701,0.001520,0.192421,N/A,0.197080,0.001522,0.192798,N/A,,,,
VectorAddition_int32_sg32,,,2097152,1024,,N/A,0.047750,0.000283,0.047230,N/A,0.047876,0.000285,0.047356,N/A,,,,
VectorAddition_fp16_sg32,,,2097152,1024,,N/A,0.196373,0.001532,0.193183,N/A,0.196752,0.001536,0.193552,N/A,,,,
VectorAddition_fp32_sg32,,,2097152,1024,,N/A,0.049824,0.000521,0.048503,N/A,0.049956,0.000522,0.048632,N/A,,,,
VectorAddition_int16_sg8,,,2097152,1024,,N/A,0.000066,0.000006,0.000064,N/A,0.000113,0.000011,0.000098,N/A,,,,
VectorAddition_int32_sg8,,,2097152,1024,,N/A,0.000074,0.000001,0.000073,N/A,0.000121,0.000009,0.000110,N/A,,,,
VectorAddition_fp16_sg8,,,2097152,1024,,N/A,0.000064,0.000000,0.000064,N/A,0.000107,0.000007,0.000099,N/A,,,,
VectorAddition_fp32_sg8,,,2097152,1024,,N/A,0.000074,0.000001,0.000073,N/A,0.000116,0.000005,0.000112,N/A,,,,
VectorAddition_int16_sg16,,,2097152,1024,,N/A,0.000042,0.000000,0.000042,N/A,0.000081,0.000005,0.000078,N/A,,,,
VectorAddition_int32_sg16,,,2097152,1024,,N/A,0.000056,0.000001,0.000055,N/A,0.000099,0.000006,0.000094,N/A,,,,
VectorAddition_fp16_sg16,,,2097152,1024,,N/A,0.000043,0.000000,0.000042,N/A,0.000087,0.000007,0.000078,N/A,,,,
VectorAddition_fp32_sg16,,,2097152,1024,,N/A,0.000056,0.000001,0.000055,N/A,0.000101,0.000007,0.000093,N/A,,,,
VectorAddition_int16_sg32,,,2097152,1024,,N/A,0.000043,0.000001,0.000042,N/A,0.000090,0.000007,0.000078,N/A,,,,
VectorAddition_int32_sg32,,,2097152,1024,,N/A,0.000057,0.000001,0.000056,N/A,0.000104,0.000007,0.000095,N/A,,,,
VectorAddition_fp16_sg32,,,2097152,1024,,N/A,0.000043,0.000000,0.000042,N/A,0.000084,0.000006,0.000079,N/A,,,,
