bench-name,core-freq,memory-freq,problem-size,local-size,num-iters,kernel-time-mean,kernel-time-stddev,kerne-time-min,kernel-time-max,run-time-mean,run-time-stddev,run-time-min,run-time-max,kernel-energy-mean,kernel-energy-stddev,kernel-energy-max,kernel-energy-min
OptimizedVectorAddition_fp32_sg8,0,0,3072,256,100000,0.004149,0.000024,,,0.004231,0.000028,0.004207,,0.382398,0.010936,0.393860,0.371521
OptimizedVectorAddition_int32_sg16,0,0,3072,256,100000,0.004704,0.000010,,,0.004786,0.000018,0.004761,,0.417249,0.040875,0.455444,0.366821
OptimizedVectorAddition_int64_sg16,0,0,3072,256,100000,0.005703,0.000023,,,0.005820,0.000032,0.005767,,0.508508,0.052839,0.573974,0.467835
OptimizedVectorAddition_fp32_sg16,0,0,3072,256,100000,0.004646,0.000034,,,0.004758,0.000047,0.004730,,0.433313,0.044858,0.472107,0.376709
OptimizedVectorAddition_int32_sg32,0,0,3072,256,100000,0.005180,0.000036,,,0.005280,0.000040,0.005227,,0.471069,0.009710,0.485840,0.462646
OptimizedVectorAddition_int64_sg32,0,0,3072,256,100000,0.006886,0.000091,,,0.007005,0.000094,0.006914,,0.621790,0.049500,0.663453,0.566162
OptimizedVectorAddition_fp32_sg32,0,0,3072,256,100000,0.005105,0.000037,,,0.005196,0.000037,0.005153,,0.499585,0.040639,0.552368,0.463867
OptimizedVectorAddition_int32_sg8,0,0,3072,64,100000,0.004064,0.000023,,,0.004162,0.000046,0.004126,,0.375330,0.007696,0.383728,0.367004
OptimizedVectorAddition_int64_sg8,0,0,3072,64,100000,0.005172,0.000000,,,0.005256,0.000011,0.005247,,0.513830,0.050683,0.575195,0.468444
OptimizedVectorAddition_fp32_sg8,0,0,3072,64,100000,0.004030,0.000023,,,0.004125,0.000023,0.004089,,0.385205,0.003090,0.388733,0.380738
OptimizedVectorAddition_int32_sg16,0,0,3072,64,100000,0.004582,0.000026,,,0.004674,0.000038,0.004649,,0.405823,0.048676,0.459229,0.369567
OptimizedVectorAddition_int64_sg16,0,0,3072,64,100000,0.005738,0.000024,,,0.005836,0.000050,0.005805,,0.521582,0.043551,0.562133,0.472656
OptimizedVectorAddition_fp32_sg16,0,0,3072,64,100000,0.004513,0.000016,,,0.004596,0.000021,0.004579,,0.419092,0.049657,0.464477,0.359009
OptimizedVectorAddition_int32_sg32,0,0,3072,64,100000,0.005164,0.000018,,,0.005261,0.000018,0.005245,,0.521728,0.027958,0.542541,0.472778
OptimizedVectorAddition_int64_sg32,0,0,3072,64,100000,0.006795,0.000059,,,0.006900,0.000062,0.006840,,0.600928,0.055405,0.645081,0.537659
OptimizedVectorAddition_fp32_sg32,0,0,3072,64,100000,0.005106,0.000039,,,0.005197,0.000039,0.005159,,0.453381,0.004962,0.461242,0.447632
OptimizedVectorAddition_int32_sg8,0,0,3072,128,100000,0.004064,0.000023,,,0.004146,0.000035,0.004119,,0.386633,0.008931,0.396911,0.372864
OptimizedVectorAddition_int64_sg8,0,0,3072,128,100000,0.005172,0.000000,,,0.005262,0.000016,0.005250,,0.501965,0.045085,0.580811,0.469360
OptimizedVectorAddition_fp32_sg8,0,0,3072,128,100000,0.004014,0.000019,,,0.004112,0.000038,0.004081,,0.402832,0.036675,0.468139,0.382569
OptimizedVectorAddition_int32_sg16,0,0,3072,128,100000,0.004630,0.000042,,,0.004722,0.000047,0.004663,,0.438172,0.037389,0.463868,0.372925
OptimizedVectorAddition_int64_sg16,0,0,3072,128,100000,0.005699,0.000006,,,0.005798,0.000018,0.005779,,0.546142,0.039373,0.580993,0.479126
OptimizedVectorAddition_fp32_sg16,0,0,3072,128,100000,0.004578,0.000018,,,0.004662,0.000028,0.004622,,0.409094,0.044797,0.464355,0.372254
OptimizedVectorAddition_int32_sg32,0,0,3072,128,100000,0.005073,0.000037,,,0.005180,0.000050,0.005135,,0.458826,0.009939,0.471313,0.447510
OptimizedVectorAddition_int64_sg32,0,0,3072,128,100000,0.006743,0.000005,,,0.006865,0.000034,0.006831,,0.571680,0.036379,0.636291,0.549439
OptimizedVectorAddition_fp32_sg32,0,0,3072,128,100000,0.005035,0.000041,,,0.005144,0.000042,0.005102,,0.463391,0.007049,0.473816,0.454956
OptimizedVectorAddition_int32_sg8,0,0,3072,256,100000,0.004172,0.000000,,,0.004263,0.000021,0.004245,,0.402844,0.036403,0.466919,0.375733
OptimizedVectorAddition_int64_sg8,0,0,3072,256,100000,0.004806,0.000029,,,0.004897,0.000039,0.004839,,0.487073,0.010946,0.502136,0.471253
OptimizedVectorAddition_fp32_sg8,0,0,3072,256,100000,0.004147,0.000023,,,0.004246,0.000031,0.004217,,0.397400,0.048941,0.483154,0.364075
OptimizedVectorAddition_int32_sg16,0,0,3072,256,100000,0.004703,0.000009,,,0.004791,0.000018,0.004768,,0.418921,0.045595,0.453308,0.363769
OptimizedVectorAddition_int64_sg16,0,0,3072,256,100000,0.005707,0.000018,,,0.005805,0.000024,0.005772,,0.570349,0.006044,0.574768,0.560425
OptimizedVectorAddition_fp32_sg16,0,0,3072,256,100000,0.004641,0.000018,,,0.004729,0.000026,0.004710,,0.411731,0.038336,0.459168,0.379212
OptimizedVectorAddition_int32_sg32,0,0,3072,256,100000,0.005142,0.000017,,,0.005230,0.000017,0.005212,,0.478564,0.035779,0.541504,0.451965
OptimizedVectorAddition_int64_sg32,0,0,3072,256,100000,0.006807,0.000008,,,0.006910,0.000016,0.006892,,0.607739,0.044465,0.649292,0.552368
OptimizedVectorAddition_fp32_sg32,0,0,3072,256,100000,0.005109,0.000035,,,0.005201,0.000033,0.005168,,0.465552,0.006484,0.474243,0.456787
OptimizedVectorAddition_int32_sg8,0,0,3072,1024,100000,0.005453,0.000000,,,0.005573,0.000021,0.005552,,0.497217,0.043950,0.549011,0.450256
OptimizedVectorAddition_int64_sg8,0,0,3072,1024,100000,0.007478,0.000069,,,0.007618,0.000079,0.007512,,0.681739,0.035417,0.742798,0.655274
OptimizedVectorAddition_fp32_sg8,0,0,3072,1024,100000,0.005342,0.000003,,,0.005512,0.000029,0.005469,,0.508838,0.046716,0.551331,0.451355
OptimizedVectorAddition_int32_sg16,0,0,3072,1024,100000,0.005433,0.000001,,,0.005587,0.000027,0.005562,,0.473572,0.043511,0.551147,0.448242
OptimizedVectorAddition_int64_sg16,0,0,3072,1024,100000,0.006271,0.000002,,,0.006400,0.000043,0.006368,,0.552307,0.011447,0.569030,0.537475
OptimizedVectorAddition_fp32_sg16,0,0,3072,1024,100000,0.005385,0.000002,,,0.005501,0.000038,0.005468,,0.481983,0.044831,0.538269,0.440125
OptimizedVectorAddition_int32_sg32,0,0,3072,1024,100000,0.005263,0.000002,,,0.005358,0.000022,0.005340,,0.477698,0.041186,0.549805,0.448730
OptimizedVectorAddition_int64_sg32,0,0,3072,1024,100000,0.007064,0.000006,,,0.007176,0.000018,0.007151,,0.644531,0.010130,0.658447,0.633240
OptimizedVectorAddition_fp32_sg32,0,0,3072,1024,100000,0.005141,0.000000,,,0.005251,0.000018,0.005238,,0.474915,0.044353,0.549317,0.437073
OptimizedVectorAddition_int32_sg8,0,0,3072,256,100000,0.004172,0.000000,,,0.004265,0.000019,0.004249,,0.385083,0.008289,0.394409,0.375488
OptimizedVectorAddition_int64_sg8,0,0,3072,256,100000,0.004749,0.000027,,,0.004851,0.000027,0.004821,,0.449122,0.042912,0.490479,0.402039
OptimizedVectorAddition_fp32_sg8,0,0,3072,256,100000,0.004165,0.000019,,,0.004264,0.000023,0.004223,,0.384155,0.015003,0.400513,0.368042
OptimizedVectorAddition_int32_sg16,0,0,3072,256,100000,0.004703,0.000011,,,0.004794,0.000020,0.004774,,0.423291,0.050841,0.468140,0.356140
OptimizedVectorAddition_int64_sg16,0,0,3072,256,100000,0.005678,0.000010,,,0.005786,0.000022,0.005755,,0.528784,0.040171,0.568725,0.478882
OptimizedVectorAddition_fp32_sg16,0,0,3072,256,100000,0.004650,0.000021,,,0.004755,0.000044,0.004715,,0.442493,0.044412,0.467041,0.363281
OptimizedVectorAddition_int32_sg32,0,0,3072,256,100000,0.005114,0.000037,,,0.005222,0.000033,0.005184,,0.460498,0.009659,0.469300,0.445069
OptimizedVectorAddition_int64_sg32,0,0,3072,256,100000,0.006820,0.000020,,,0.006927,0.000035,0.006891,,0.650305,0.009808,0.662415,0.636108
OptimizedVectorAddition_fp32_sg32,0,0,3072,256,100000,0.005074,0.000025,,,0.005174,0.000042,0.005132,,0.452637,0.011088,0.470825,0.442017
OptimizedVectorAddition_int32_sg8,0,0,3072,512,100000,0.004204,0.000023,,,0.004307,0.000035,0.004266,,0.393994,0.046791,0.471557,0.351501
OptimizedVectorAddition_int64_sg8,0,0,3072,512,100000,0.005057,0.000004,,,0.005172,0.000019,0.005150,,0.480322,0.015154,0.496644,0.460937
OptimizedVectorAddition_fp32_sg8,0,0,3072,512,100000,0.004193,0.000028,,,0.004288,0.000024,0.004253,,0.422021,0.050335,0.480591,0.378968
OptimizedVectorAddition_int32_sg16,0,0,3072,512,100000,0.004755,0.000083,,,0.004856,0.000089,0.004753,,0.419336,0.047001,0.462830,0.365112
