bench-name,core-freq,memory-freq,problem-size,local-size,num-iters,throughput-metric,kernel-time-mean,kernel-time-stddev,kernel-time-min,kernel-time-throughput,run-time-mean,run-time-stddev,run-time-min,run-time-throughput,kernel-energy-mean,kernel-energy-stddev,kernel-energy-max,kernel-energy-min
MicroBench_LocalMem_int32_4096,,,524288,256,,16.000000,N/A,N/A,N/A,N/A,0.003976,0.000004,0.003973,4026.797330,,,,
MicroBench_LocalMem_fp32_4096,,,524288,256,,16.000000,N/A,N/A,N/A,N/A,0.003975,0.000002,0.003973,4027.327430,,,,
MicroBench_LocalMem_fp64_4096,,,524288,256,,32.000000,N/A,N/A,N/A,N/A,0.007963,0.000054,0.007927,4036.741411,,,,
MicroBench_LocalMem_int32_4096,,,16777216,256,,512.000000,N/A,N/A,N/A,N/A,0.134006,0.003071,0.130872,3912.218019,,,,
MicroBench_LocalMem_fp32_4096,,,16777216,256,,512.000000,N/A,N/A,N/A,N/A,0.136349,0.000369,0.135949,3766.108121,,,,
MicroBench_LocalMem_fp64_4096,,,16777216,256,,1024.000000,N/A,N/A,N/A,N/A,0.269555,0.005712,0.265885,3851.293799,,,,
MicroBench_LocalMem_int32_4096,,,2097152,256,,64.000000,N/A,N/A,N/A,N/A,0.016452,0.000663,0.015972,4007.057681,,,,
MicroBench_LocalMem_fp32_4096,,,2097152,256,,64.000000,N/A,N/A,N/A,N/A,0.016340,0.000790,0.015917,4020.773578,,,,
MicroBench_LocalMem_fp64_4096,,,2097152,256,,128.000000,N/A,N/A,N/A,N/A,0.032125,0.000682,0.031756,4030.686879,,,,
MicroBench_LocalMem_int32_4096,,,16384,256,,0.000000,N/A,N/A,N/A,N/A,0.000283,0.000005,0.000280,N/A,,,,
MicroBench_LocalMem_fp32_4096,,,16384,256,,0.000000,N/A,N/A,N/A,N/A,0.000281,0.000002,0.000279,N/A,,,,
MicroBench_LocalMem_fp64_4096,,,16384,256,,1.000000,N/A,N/A,N/A,N/A,0.000612,0.000088,0.000537,1861.850680,,,,
MicroBench_LocalMem_int32_4096,,,65536,256,,2.000000,N/A,N/A,N/A,N/A,0.001068,0.000008,0.001062,1882.854445,,,,
MicroBench_LocalMem_fp32_4096,,,65536,256,,2.000000,N/A,N/A,N/A,N/A,0.001064,0.000003,0.001062,1883.867127,,,,
MicroBench_LocalMem_fp64_4096,,,65536,256,,4.000000,N/A,N/A,N/A,N/A,0.002053,0.000099,0.001980,2020.677594,,,,
MicroBench_LocalMem_int32_4096,,,8192,256,,0.000000,N/A,N/A,N/A,N/A,0.000151,0.000007,0.000145,N/A,,,,
MicroBench_LocalMem_fp32_4096,,,8192,256,,0.000000,N/A,N/A,N/A,N/A,0.000147,0.000002,0.000145,N/A,,,,
MicroBench_LocalMem_fp64_4096,,,8192,256,,0.000000,N/A,N/A,N/A,N/A,0.000309,0.000049,0.000275,N/A,,,,
MicroBench_LocalMem_int32_4096,,,2048,256,,0.000000,N/A,N/A,N/A,N/A,0.000147,0.000004,0.000145,N/A,,,,
MicroBench_LocalMem_fp32_4096,,,2048,256,,0.000000,N/A,N/A,N/A,N/A,0.000147,0.000004,0.000144,N/A,,,,
MicroBench_LocalMem_fp64_4096,,,2048,256,,0.000000,N/A,N/A,N/A,N/A,0.000199,0.000052,0.000163,N/A,,,,
MicroBench_LocalMem_int32_4096,,,2048,256,,0.000000,N/A,N/A,N/A,N/A,0.000148,0.000004,0.000145,N/A,,,,
MicroBench_LocalMem_fp32_4096,,,2048,256,,0.000000,N/A,N/A,N/A,N/A,0.000148,0.000004,0.000144,N/A,,,,
MicroBench_LocalMem_fp64_4096,,,2048,256,,0.000000,N/A,N/A,N/A,N/A,0.000197,0.000049,0.000162,N/A,,,,
MicroBench_LocalMem_int32_4096,,,262144,256,,8.000000,N/A,N/A,N/A,N/A,0.003229,0.000004,0.003226,2479.735139,,,,
MicroBench_LocalMem_fp32_4096,,,262144,256,,8.000000,N/A,N/A,N/A,N/A,0.003227,0.000002,0.003226,2479.831991,,,,
MicroBench_LocalMem_fp64_4096,,,262144,256,,16.000000,N/A,N/A,N/A,N/A,0.006573,0.000169,0.006436,2485.919982,,,,
MicroBench_LocalMem_int32_4096,,,2048,256,,0.000000,N/A,N/A,N/A,N/A,0.000147,0.000004,0.000144,N/A,,,,
MicroBench_LocalMem_fp32_4096,,,2048,256,,0.000000,N/A,N/A,N/A,N/A,0.000147,0.000004,0.000144,N/A,,,,
MicroBench_LocalMem_fp64_4096,,,2048,256,,0.000000,N/A,N/A,N/A,N/A,0.000197,0.000049,0.000162,N/A,,,,
