bench-name,core-freq,memory-freq,problem-size,local-size,num-iters,throughput-metric,kernel-time-mean,kernel-time-stddev,kerne-time-min,kernel-time-throughput,run-time-mean,run-time-stddev,run-time-min,run-time-throughput,kernel-energy-mean,kernel-energy-stddev,kernel-energy-max,kernel-energy-min
VectorAddition_fp16_sg32,,,2097152,1024,,N/A,0.011975,0.000000,,N/A,0.012103,0.000000,0.012103,N/A,,,,
VectorAddition_fp32_sg32,,,2097152,1024,,N/A,0.002946,0.000000,,N/A,0.003042,0.000000,0.003042,N/A,,,,
VectorAddition_int16_sg8,,,2097152,1024,,N/A,0.015174,0.000000,,N/A,0.015270,0.000000,0.015270,N/A,,,,
VectorAddition_int32_sg8,,,2097152,1024,,N/A,0.003848,0.000000,,N/A,0.003941,0.000000,0.003941,N/A,,,,
VectorAddition_fp16_sg8,,,2097152,1024,,N/A,0.015065,0.000000,,N/A,0.015182,0.000000,0.015182,N/A,,,,
VectorAddition_fp32_sg8,,,2097152,1024,,N/A,0.003685,0.000000,,N/A,0.003768,0.000000,0.003768,N/A,,,,
VectorAddition_int16_sg16,,,2097152,1024,,N/A,0.012813,0.000000,,N/A,0.012929,0.000000,0.012929,N/A,,,,
VectorAddition_int32_sg16,,,2097152,1024,,N/A,0.003516,0.000000,,N/A,0.003619,0.000000,0.003619,N/A,,,,
VectorAddition_fp16_sg16,,,2097152,1024,,N/A,0.012939,0.000000,,N/A,0.013053,0.000000,0.013053,N/A,,,,
VectorAddition_fp32_sg16,,,2097152,1024,,N/A,0.003516,0.000000,,N/A,0.003631,0.000000,0.003631,N/A,,,,
VectorAddition_int16_sg32,,,2097152,1024,,N/A,0.012093,0.000000,,N/A,0.012205,0.000000,0.012205,N/A,,,,
VectorAddition_int32_sg32,,,2097152,1024,,N/A,0.002924,0.000000,,N/A,0.003018,0.000000,0.003018,N/A,,,,
VectorAddition_fp16_sg32,,,2097152,1024,,N/A,0.011893,0.000000,,N/A,0.012013,0.000000,0.012013,N/A,,,,
VectorAddition_fp32_sg32,,,2097152,1024,,N/A,0.002938,0.000000,,N/A,0.003033,0.000000,0.003033,N/A,,,,
VectorAddition_int16_sg8,,,2097152,1024,,N/A,0.015486,0.000000,,N/A,0.015626,0.000000,0.015626,N/A,,,,
VectorAddition_int32_sg8,,,2097152,1024,,N/A,0.003814,0.000000,,N/A,0.003903,0.000000,0.003903,N/A,,,,
VectorAddition_fp16_sg8,,,2097152,1024,,N/A,0.014754,0.000000,,N/A,0.014862,0.000000,0.014862,N/A,,,,
VectorAddition_fp32_sg8,,,2097152,1024,,N/A,0.003684,0.000000,,N/A,0.003779,0.000000,0.003779,N/A,,,,
VectorAddition_int16_sg16,,,2097152,1024,,N/A,0.012862,0.000000,,N/A,0.012961,0.000000,0.012961,N/A,,,,
VectorAddition_int32_sg16,,,2097152,1024,,N/A,0.003515,0.000000,,N/A,0.003601,0.000000,0.003601,N/A,,,,
VectorAddition_fp16_sg16,,,2097152,1024,,N/A,0.012739,0.000000,,N/A,0.012858,0.000000,0.012858,N/A,,,,
VectorAddition_fp32_sg16,,,2097152,1024,,N/A,0.003512,0.000000,,N/A,0.003591,0.000000,0.003591,N/A,,,,
VectorAddition_int16_sg32,,,2097152,1024,,N/A,0.011938,0.000000,,N/A,0.012045,0.000000,0.012045,N/A,,,,
VectorAddition_int32_sg32,,,2097152,1024,,N/A,0.002923,0.000000,,N/A,0.003010,0.000000,0.003010,N/A,,,,
VectorAddition_fp16_sg32,,,2097152,1024,,N/A,0.011957,0.000000,,N/A,0.012056,0.000000,0.012056,N/A,,,,
VectorAddition_fp32_sg32,,,2097152,1024,,N/A,0.002949,0.000000,,N/A,0.003054,0.000000,0.003054,N/A,,,,
VectorAddition_int16_sg8,,,2097152,1024,,N/A,0.015225,0.000000,,N/A,0.015337,0.000000,0.015337,N/A,,,,
VectorAddition_int32_sg8,,,2097152,1024,,N/A,0.003831,0.000000,,N/A,0.003938,0.000000,0.003938,N/A,,,,
VectorAddition_fp16_sg8,,,2097152,1024,,N/A,0.015027,0.000000,,N/A,0.015134,0.000000,0.015134,N/A,,,,
VectorAddition_fp32_sg8,,,2097152,1024,,N/A,0.003703,0.000000,,N/A,0.003795,0.000000,0.003795,N/A,,,,
VectorAddition_int16_sg16,,,2097152,1024,,N/A,0.012782,0.000000,,N/A,0.012891,0.000000,0.012891,N/A,,,,
VectorAddition_int32_sg16,,,2097152,1024,,N/A,0.003499,0.000000,,N/A,0.003596,0.000000,0.003596,N/A,,,,
VectorAddition_fp16_sg16,,,2097152,1024,,N/A,0.012754,0.000000,,N/A,0.012865,0.000000,0.012865,N/A,,,,
VectorAddition_fp32_sg16,,,2097152,1024,,N/A,0.003509,0.000000,,N/A,0.003602,0.000000,0.003602,N/A,,,,
VectorAddition_int16_sg32,,,2097152,1024,,N/A,0.011931,0.000000,,N/A,0.012042,0.000000,0.012042,N/A,,,,
VectorAddition_int32_sg32,,,2097152,1024,,N/A,0.002933,0.000000,,N/A,0.003026,0.000000,0.003026,N/A,,,,
VectorAddition_fp16_sg32,,,2097152,1024,,N/A,0.012189,0.000000,,N/A,0.012304,0.000000,0.012304,N/A,,,,
VectorAddition_fp32_sg32,,,2097152,1024,,N/A,0.002934,0.000000,,N/A,0.003027,0.000000,0.003027,N/A,,,,
VectorAddition_int16_sg8,,,2097152,1024,,N/A,0.014930,0.000000,,N/A,0.015052,0.000000,0.015052,N/A,,,,
VectorAddition_int32_sg8,,,2097152,1024,,N/A,0.003812,0.000000,,N/A,0.003896,0.000000,0.003896,N/A,,,,
VectorAddition_fp16_sg8,,,2097152,1024,,N/A,0.015344,0.000000,,N/A,0.015447,0.000000,0.015447,N/A,,,,
VectorAddition_fp32_sg8,,,2097152,1024,,N/A,0.003684,0.000000,,N/A,0.003770,0.000000,0.003770,N/A,,,,
VectorAddition_int16_sg16,,,2097152,1024,,N/A,0.012815,0.000000,,N/A,0.012933,0.000000,0.012933,N/A,,,,
VectorAddition_int32_sg16,,,2097152,1024,,N/A,0.003499,0.000000,,N/A,0.003585,0.000000,0.003585,N/A,,,,
VectorAddition_fp16_sg16,,,2097152,1024,,N/A,0.012663,0.000000,,N/A,0.012776,0.000000,0.012776,N/A,,,,
VectorAddition_fp32_sg16,,,2097152,1024,,N/A,0.003489,0.000000,,N/A,0.003564,0.000000,0.003564,N/A,,,,
VectorAddition_int16_sg32,,,2097152,1024,,N/A,0.012099,0.000000,,N/A,0.012206,0.000000,0.012206,N/A,,,,
VectorAddition_int32_sg32,,,2097152,1024,,N/A,0.002955,0.000000,,N/A,0.003043,0.000000,0.003043,N/A,,,,
VectorAddition_fp16_sg32,,,2097152,1024,,N/A,0.012062,0.000000,,N/A,0.012173,0.000000,0.012173,N/A,,,,
VectorAddition_fp32_sg32,,,2097152,1024,,N/A,0.002944,0.000000,,N/A,0.003039,0.000000,0.003039,N/A,,,,
VectorAddition_int16_sg8,,,2097152,1024,,N/A,0.015171,0.000000,,N/A,0.015297,0.000000,0.015297,N/A,,,,
VectorAddition_int32_sg8,,,2097152,1024,,N/A,0.003813,0.000000,,N/A,0.003906,0.000000,0.003906,N/A,,,,
VectorAddition_fp16_sg8,,,2097152,1024,,N/A,0.015183,0.000000,,N/A,0.015287,0.000000,0.015287,N/A,,,,
VectorAddition_fp32_sg8,,,2097152,1024,,N/A,0.003703,0.000000,,N/A,0.003789,0.000000,0.003789,N/A,,,,
VectorAddition_int16_sg16,,,2097152,1024,,N/A,0.013049,0.000000,,N/A,0.013168,0.000000,0.013168,N/A,,,,
VectorAddition_int32_sg16,,,2097152,1024,,N/A,0.003523,0.000000,,N/A,0.003605,0.000000,0.003605,N/A,,,,
VectorAddition_fp16_sg16,,,2097152,1024,,N/A,0.012541,0.000000,,N/A,0.012660,0.000000,0.012660,N/A,,,,
VectorAddition_fp32_sg16,,,2097152,1024,,N/A,0.003517,0.000000,,N/A,0.003619,0.000000,0.003619,N/A,,,,
VectorAddition_int16_sg32,,,2097152,1024,,N/A,0.011983,0.000000,,N/A,0.012109,0.000000,0.012109,N/A,,,,
VectorAddition_int32_sg32,,,2097152,1024,,N/A,0.002953,0.000000,,N/A,0.003042,0.000000,0.003042,N/A,,,,
VectorAddition_fp16_sg32,,,2097152,1024,,N/A,0.012044,0.000000,,N/A,0.012167,0.000000,0.012167,N/A,,,,
VectorAddition_fp32_sg32,,,2097152,1024,,N/A,0.002927,0.000000,,N/A,0.003008,0.000000,0.003008,N/A,,,,
VectorAddition_int16_sg8,,,2097152,1024,,N/A,0.015014,0.000000,,N/A,0.015129,0.000000,0.015129,N/A,,,,
VectorAddition_int32_sg8,,,2097152,1024,,N/A,0.003812,0.000000,,N/A,0.003921,0.000000,0.003921,N/A,,,,
VectorAddition_fp16_sg8,,,2097152,1024,,N/A,0.015135,0.000000,,N/A,0.015245,0.000000,0.015245,N/A,,,,
VectorAddition_fp32_sg8,,,2097152,1024,,N/A,0.003686,0.000000,,N/A,0.003783,0.000000,0.003783,N/A,,,,
VectorAddition_int16_sg16,,,2097152,1024,,N/A,0.012671,0.000000,,N/A,0.012777,0.000000,0.012777,N/A,,,,
VectorAddition_int32_sg16,,,2097152,1024,,N/A,0.003508,0.000000,,N/A,0.003607,0.000000,0.003607,N/A,,,,
VectorAddition_fp16_sg16,,,2097152,1024,,N/A,0.012845,0.000000,,N/A,0.012958,0.000000,0.012958,N/A,,,,
VectorAddition_fp32_sg16,,,2097152,1024,,N/A,0.003510,0.000000,,N/A,0.003605,0.000000,0.003605,N/A,,,,
VectorAddition_int16_sg32,,,2097152,1024,,N/A,0.011950,0.000000,,N/A,0.012063,0.000000,0.012063,N/A,,,,
VectorAddition_int32_sg32,,,2097152,1024,,N/A,0.002931,0.000000,,N/A,0.003026,0.000000,0.003026,N/A,,,,
VectorAddition_fp16_sg32,,,2097152,1024,,N/A,0.011912,0.000000,,N/A,0.012031,0.000000,0.012031,N/A,,,,
VectorAddition_fp32_sg32,,,2097152,1024,,N/A,0.002932,0.000000,,N/A,0.003032,0.000000,0.003032,N/A,,,,
VectorAddition_int16_sg8,,,2097152,1024,,N/A,0.015425,0.000000,,N/A,0.015536,0.000000,0.015536,N/A,,,,
VectorAddition_int32_sg8,,,2097152,1024,,N/A,0.003814,0.000000,,N/A,0.003905,0.000000,0.003905,N/A,,,,
VectorAddition_fp16_sg8,,,2097152,1024,,N/A,0.015234,0.000000,,N/A,0.015346,0.000000,0.015346,N/A,,,,
VectorAddition_fp32_sg8,,,2097152,1024,,N/A,0.003685,0.000000,,N/A,0.003784,0.000000,0.003784,N/A,,,,
VectorAddition_int16_sg16,,,2097152,1024,,N/A,0.013024,0.000000,,N/A,0.013129,0.000000,0.013129,N/A,,,,
VectorAddition_int32_sg16,,,2097152,1024,,N/A,0.003513,0.000000,,N/A,0.003613,0.000000,0.003613,N/A,,,,
VectorAddition_fp16_sg16,,,2097152,1024,,N/A,0.012733,0.000000,,N/A,0.012846,0.000000,0.012846,N/A,,,,
VectorAddition_fp32_sg16,,,2097152,1024,,N/A,0.003521,0.000000,,N/A,0.003603,0.000000,0.003603,N/A,,,,
VectorAddition_int16_sg32,,,2097152,1024,,N/A,0.012049,0.000000,,N/A,0.012148,0.000000,0.012148,N/A,,,,
VectorAddition_int32_sg32,,,2097152,1024,,N/A,0.002955,0.000000,,N/A,0.003050,0.000000,0.003050,N/A,,,,
VectorAddition_fp16_sg32,,,2097152,1024,,N/A,0.011942,0.000000,,N/A,0.012063,0.000000,0.012063,N/A,,,,
VectorAddition_fp32_sg32,,,2097152,1024,,N/A,0.002950,0.000000,,N/A,0.003044,0.000000,0.003044,N/A,,,,
VectorAddition_int16_sg8,,,2097152,1024,,N/A,0.015171,0.000000,,N/A,0.015281,0.000000,0.015281,N/A,,,,
VectorAddition_int32_sg8,,,2097152,1024,,N/A,0.003830,0.000000,,N/A,0.003900,0.000000,0.003900,N/A,,,,
VectorAddition_fp16_sg8,,,2097152,1024,,N/A,0.015292,0.000000,,N/A,0.015420,0.000000,0.015420,N/A,,,,
VectorAddition_fp32_sg8,,,2097152,1024,,N/A,0.003685,0.000000,,N/A,0.003781,0.000000,0.003781,N/A,,,,
VectorAddition_int16_sg16,,,2097152,1024,,N/A,0.012908,0.000000,,N/A,0.013032,0.000000,0.013032,N/A,,,,
VectorAddition_int32_sg16,,,2097152,1024,,N/A,0.003511,0.000000,,N/A,0.003595,0.000000,0.003595,N/A,,,,
VectorAddition_fp16_sg16,,,2097152,1024,,N/A,0.012943,0.000000,,N/A,0.013054,0.000000,0.013054,N/A,,,,
VectorAddition_fp32_sg16,,,2097152,1024,,N/A,0.003511,0.000000,,N/A,0.003613,0.000000,0.003613,N/A,,,,
VectorAddition_int16_sg32,,,2097152,1024,,N/A,0.012033,0.000000,,N/A,0.012139,0.000000,0.012139,N/A,,,,
VectorAddition_int32_sg32,,,2097152,1024,,N/A,0.002935,0.000000,,N/A,0.003031,0.000000,0.003031,N/A,,,,
VectorAddition_fp16_sg32,,,2097152,1024,,N/A,0.012036,0.000000,,N/A,0.012163,0.000000,0.012163,N/A,,,,
VectorAddition_fp32_sg32,,,2097152,1024,,N/A,0.002937,0.000000,,N/A,0.003015,0.000000,0.003015,N/A,,,,
VectorAddition_int16_sg8,,,2097152,1024,,N/A,0.014945,0.000000,,N/A,0.015043,0.000000,0.015043,N/A,,,,
VectorAddition_int32_sg8,,,2097152,1024,,N/A,0.003813,0.000000,,N/A,0.003910,0.000000,0.003910,N/A,,,,
VectorAddition_fp16_sg8,,,2097152,1024,,N/A,0.015364,0.000000,,N/A,0.015496,0.000000,0.015496,N/A,,,,
