bench-name,core-freq,memory-freq,problem-size,local-size,num-iters,throughput-metric,kernel-time-mean,kernel-time-stddev,kerne-time-min,kernel-time-throughput,run-time-mean,run-time-stddev,run-time-min,run-time-throughput,kernel-energy-mean,kernel-energy-stddev,kernel-energy-max,kernel-energy-min
MicroBench_LocalMem_fp64_4096,,,262144,256,,16.000000,N/A,N/A,,N/A,0.001625,0.000089,0.001502,10655.826140,,,,
MicroBench_LocalMem_int32_4096,,,262144,256,,8.000000,N/A,N/A,,N/A,0.000781,0.000035,0.000756,10586.113401,,,,
MicroBench_LocalMem_fp32_4096,,,262144,256,,8.000000,N/A,N/A,,N/A,0.000768,0.000022,0.000755,10594.062028,,,,
MicroBench_LocalMem_fp64_4096,,,262144,256,,16.000000,N/A,N/A,,N/A,0.001570,0.000075,0.001494,10712.157629,,,,
MicroBench_LocalMem_int32_4096,,,8388608,256,,256.000000,N/A,N/A,,N/A,0.021801,0.000023,0.021787,11749.971979,,,,
MicroBench_LocalMem_fp32_4096,,,8388608,256,,256.000000,N/A,N/A,,N/A,0.021807,0.000022,0.021791,11747.721894,,,,
MicroBench_LocalMem_fp64_4096,,,8388608,256,,512.000000,N/A,N/A,,N/A,0.043450,0.000049,0.043403,11796.375301,,,,
MicroBench_LocalMem_int32_4096,,,131072,256,,4.000000,N/A,N/A,,N/A,0.000393,0.000007,0.000389,10275.142632,,,,
MicroBench_LocalMem_fp32_4096,,,131072,256,,4.000000,N/A,N/A,,N/A,0.000391,0.000002,0.000389,10289.812571,,,,
MicroBench_LocalMem_fp64_4096,,,131072,256,,8.000000,N/A,N/A,,N/A,0.000794,0.000049,0.000756,10584.096601,,,,
MicroBench_LocalMem_int32_4096,,,8388608,256,,256.000000,N/A,N/A,,N/A,0.021793,0.000035,0.021742,11774.443607,,,,
MicroBench_LocalMem_fp32_4096,,,8388608,256,,256.000000,N/A,N/A,,N/A,0.021777,0.000026,0.021738,11776.344764,,,,
